recipe_name,directions,category,nutrition,img_src,ingredients_parsed,tags,total_mins
Apple-Cranberry Crostada,"Heat butter in a large skillet over medium-high heat. Add apples 1/2 cup sugar and cranberries; cover and cook until apples release their liquid about 5 minutes. Remove lid and continue to cook stirring frequently until soft apples fall apart and juices thicken to a thin-syrup consistency about 5 minutes longer. Pour onto a large-lipped cookie sheet or jellyroll pan and cool to room temperature. (Can be refrigerated in an airtight container up to 5 days.)
Adjust oven rack to low position and heat oven to 400 degrees. Open puff pastry sheet on a lightly floured work surface. Roll into a rectangle about 10 by 16 inches. Transfer to a large cookie sheet. (I suggest lining the sheet with parchment paper; this ensures the crostada doesnt stick and allows easy cleanup.)
Spread cooked apples over pastry leaving a 2-inch border. Fold up pastry borders over apples. Unfold corners and form ruffled creases to keep dough from overlapping. Brush pastry border with egg white and sprinkle with the remaining 1 Tb. sugar. Bake until pastry is golden brown 25 to 30 minutes. Serve warm or at room temperature with optional ice cream or whipped cream.",Desserts,"Total Fat: 18.0, Saturated Fat: 7.0, Total Carbohydrate: 60.0, Dietary Fiber: 5.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg,quantity: 900 unit: g ingredient: Granny Smith apples (or other firm crisp apples) quantity: 450 unit: g ingredient: Macintosh apples (or other soft-textured apples that fall apart when cooked) quantity: 105 unit: g ingredient: sugar quantity: 120 unit: ml ingredient: dried cranberries quantity: 1.0 unit: piece ingredient: sheet frozen puff pastry quantity: 1.0 unit: piece ingredient: egg white quantity: 15 unit: g ingredient: sugar quantity: 240 unit: ml ingredient: Optional: Ice cream or lightly sweetened whipped cream,"apple, butter, cranberry, cream, egg, ice cream, puff pastry, sugar",55
Apple Pie by Grandma Ople,"Peel and core apples then thinly slice. Set aside.
Preheat the oven to 425 degrees F (220 degrees C).
Melt butter in a saucepan over medium heat. Add flour and stir to form a paste; cook until fragrant about 1 to 2 minutes. Add both sugars and water; bring to a boil. Reduce the heat to low and simmer for 3 to 5 minutes. Remove from the heat.
Press one pastry into the bottom and up the sides of a 9-inch pie pan. Roll out remaining pastry so it will overhang the pie by about 1/2 inch. Cut pastry into eight 1-inch strips.
Place sliced apples into the bottom crust forming a slight mound. Lay four pastry strips vertically and evenly spaced over apples using longer strips in the center and shorter strips at the edges.
Make a lattice crust: Fold the first and third strips all the way back so theyre almost falling off the pie. Lay one of the unused strips perpendicularly over the second and fourth strips then unfold the first and third strips back into their original position.
Fold the second and fourth vertical strips back. Lay one of the three unused strips perpendicularly over top. Unfold the second and fourth strips back into their original position.
Repeat Steps 6 and 7 to weave in the last two strips of pastry. Fold and trim excess dough at the edges as necessary and pinch to secure.
Slowly and gently pour sugar-butter mixture over lattice crust making sure it seeps over sliced apples. Brush some onto lattice but make sure it doesnt run off the sides.
Bake in the preheated oven for 15 minutes. Reduce the temperature to 350 degrees F (175 degrees C) and continue baking until apples are soft 35 to 45 minutes.











Natalie T
",Desserts,"Total Fat: 19.0, Saturated Fat: 9.0, Total Carbohydrate: 52.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 2.0",https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg,quantity: 114 unit: g ingredient: unsalted butter quantity: 45 unit: g ingredient: all-purpose flour quantity: 105 unit: g ingredient: white sugar quantity: 105 unit: g ingredient: packed brown sugar quantity: 60 unit: ml ingredient: water quantity: 1.0 unit: piece ingredient: double-crust pie pastry,"apple, brown sugar, butter, flour, sugar, water",90
Sarahs Homemade Applesauce,"Combine apples water sugar and cinnamon in a saucepan; cover and cook over medium heat until apples are soft about 15 to 20 minutes.
Allow apple mixture to cool then mash with a fork or potato masher until it is the consistency you like.











Photo by cookinmama.
cookin mama
",Side Dish,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 32.0, Dietary Fiber: 4.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg,quantity: 180 unit: ml ingredient: water quantity: 52 unit: g ingredient: white sugar quantity: 2 unit: g ingredient: ground cinnamon,"apple, cinnamon, sugar, water",25
Apple Crisp,"Preheat the oven to 350 degrees F (175 degrees C).
Place sliced apples in a 9x13-inch baking dish. Mix white sugar 1 tablespoon flour and cinnamon together; sprinkle over apples. Pour water evenly over apples.
Combine oats 1 cup flour brown sugar baking powder and baking soda in a large bowl. Add melted butter and mix with a fork until crumbly; sprinkle evenly over apple mixture.
Bake in the preheated oven until top is golden brown and apples are bubbling around the edges about 45 minutes.











Dotdash Meredith Food Studios
",Desserts,"Total Fat: 8.0, Saturated Fat: 5.0, Total Carbohydrate: 61.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg,quantity: 210 unit: g ingredient: white sugar quantity: 15 unit: g ingredient: all-purpose flour quantity: 5 unit: g ingredient: ground cinnamon quantity: 120 unit: ml ingredient: water quantity: 240 unit: ml ingredient: quick-cooking oats quantity: 128 unit: g ingredient: all-purpose flour quantity: 210 unit: g ingredient: packed brown sugar quantity: 1 unit: g ingredient: baking powder quantity: 1 unit: g ingredient: baking soda quantity: 114 unit: g ingredient: butter,"apple, baking powder, baking soda, brown sugar, butter, cinnamon, flour, oat, sugar, water",75
Apple Pie Filling,"Toss apples with lemon juice in a large bowl and set aside.
Pour water into a Dutch oven over medium heat. Combine sugar cornstarch cinnamon salt and nutmeg in a bowl; add to water stir well and bring to a boil. Boil for 2 minutes stirring constantly.
Add apples and return to a boil. Reduce heat cover and simmer until apples are tender 6 to 8 minutes. Cool for 30 minutes.
Ladle into 5 freezer containers leaving 1/2 inch of headspace. Cool at room temperature no longer than 1 1/2 hours.
Seal and freeze. Can be stored for up to 12 months.











Dotdash Meredith Food Studios
",Desserts,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 33.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg,quantity: 45 unit: g ingredient: lemon juice quantity: 2400 unit: ml ingredient: water quantity: 945 unit: g ingredient: white sugar quantity: 240 unit: ml ingredient: cornstarch quantity: 10 unit: g ingredient: ground cinnamon quantity: 5 unit: g ingredient: salt quantity: 1 unit: g ingredient: ground nutmeg,"apple, cinnamon, cornstarch, juice, lemon, lemon juice, nutmeg, salt, sugar, water",160
Easy Apple Crisp with Oat Topping,"Preheat the oven to 350 degrees F (175 degrees C).
Toss apples with white sugar and 1/2 teaspoon cinnamon in a medium bowl to coat; pour into a 9-inch square baking dish.
Mix brown sugar oats flour and 1 teaspoon cinnamon in a separate bowl. Cut in cold butter with 2 knives or a pastry blender until the mixture resembles coarse crumbs; spread over apples and pat down gently until even.
Bake in the preheated oven until golden brown and sides are bubbling about 40 minutes.









",Desserts,"Total Fat: 25.0, Saturated Fat: 15.0, Total Carbohydrate: 99.0, Dietary Fiber: 8.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg,quantity: 30 unit: g ingredient: white sugar quantity: 8 unit: g ingredient: ground cinnamon quantity: 210 unit: g ingredient: brown sugar quantity: 180 unit: ml ingredient: old-fashioned oats quantity: 96 unit: g ingredient: all-purpose flour quantity: 114 unit: g ingredient: cold butter,"apple, brown sugar, butter, cinnamon, flour, oat, sugar",60
Easy Apple Cider,"Combine apple cider and cinnamon sticks in a slow cooker.
Place allspice and cloves onto the center of an 8-inch square piece of cheesecloth. Gather edges of the cheesecloth together and tie to secure; place in the slow cooker. Stir in brown sugar. Cook on High until it comes to a boil. Reduce heat to Low and keep warm.",Drinks Recipes,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 43.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg,quantity: 3.0 unit: piece ingredient: cinnamon sticks quantity: 5 unit: g ingredient: whole allspice quantity: 5 unit: g ingredient: whole cloves quantity: 69 unit: g ingredient: brown sugar,"allspice, apple, apple cider, brown sugar, cinnamon, sugar",70
Apple-Cranberry Crisp,"Preheat the oven to 375 degrees F (190 degrees C.) Butter an 8-inch square baking dish.
Mix apples cranberries white sugar cinnamon and nutmeg in a large bowl. Place in an even layer in the prepared baking dish.
In the same bowl combine oats flour and brown sugar for topping. Add butter pieces and mix with a fork until crumbly. Stir in pecans. Sprinkle topping over apples in the baking dish.
Bake in the preheated oven until apples are tender and topping is golden brown 40 to 50 minutes.",Desserts,"Total Fat: 12.0, Saturated Fat: 4.0, Total Carbohydrate: 43.0, Dietary Fiber: 4.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg,quantity: 180 unit: ml ingredient: cranberries quantity: 52 unit: g ingredient: white sugar quantity: 15 unit: g ingredient: ground cinnamon quantity: 5 unit: g ingredient: ground nutmeg,"apple, cinnamon, cranberry, nutmeg, sugar",65
Old-Fashioned Apple Dumplings,"Preheat the oven to 400 degrees F (200 degrees C). Butter a 9x13-inch pan.
Roll pastry into a 24x16-inch rectangle on a lightly floured surface. Cut into six 8-inch squares. Place an apple on each pastry square with the cored opening facing upward. Cut butter into 8 pieces; place 1 piece in the opening of each apple; reserve the remaining butter for sauce.
Divide brown sugar between apples poking some inside each cored opening and the rest around the base of each apple. Sprinkle cinnamon and nutmeg over apples.
Using slightly wet fingertips bring one corner of the pastry square up to the top of the apple then bring the opposite corner to the top and press together. Bring up the two remaining corners and seal. Slightly pinch the dough at the sides to completely seal in the apple. Repeat with the remaining apples and place in the prepared baking dish.
Combine water white sugar vanilla extract and reserved butter in a large saucepan. Place over medium heat and bring to a boil. Reduce the heat to low and simmer until sugar is dissolved about 5 minutes. Carefully pour the sauce over the dumplings.
Bake in the preheated oven for 50 to 60 minutes. Place each apple dumpling in a dessert bowl and spoon some of the sauce over the top.",Desserts,"Total Fat: 35.0, Saturated Fat: 15.0, Total Carbohydrate: 148.0, Dietary Fiber: 7.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg,quantity: 6.0 unit: piece ingredient: large Granny Smith apples quantity: 114 unit: g ingredient: butter quantity: 158 unit: g ingredient: brown sugar quantity: 5 unit: g ingredient: ground cinnamon quantity: 2 unit: g ingredient: ground nutmeg quantity: 720 unit: ml ingredient: water quantity: 420 unit: g ingredient: white sugar quantity: 5 unit: g ingredient: vanilla extract,"apple, brown sugar, butter, cinnamon, nutmeg, sugar, vanilla, vanilla extract, water",90
Southern Fried Apples,"Melt butter in a large skillet over medium heat. Add sugar and cinnamon; stir until sugar dissolves.
Add apples and cook until softened 5 to 8 minutes.











Melissa Goff
",Side Dish,"Total Fat: 23.0, Saturated Fat: 15.0, Total Carbohydrate: 45.0, Dietary Fiber: 5.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg,quantity: 105 unit: g ingredient: white sugar quantity: 30 unit: g ingredient: ground cinnamon quantity: 4.0 unit: piece ingredient: Granny Smith apples - peeled,"apple, butter, cinnamon, sugar",20
