recipe_name,ingredients,directions,cuisine_path,nutrition,img_src,ingredients_list,ingredients_parsed,total_mins
Apple Pie by Grandma Ople,8 small Granny Smith apples or as needed ½ cup unsalted butter 3 tablespoons all-purpose flour ½ cup white sugar ½ cup packed brown sugar ¼ cup water 1 (9 inch) double-crust pie pastry thawed,"Peel and core apples then thinly slice. Set aside.
Preheat the oven to 425 degrees F (220 degrees C).
Melt butter in a saucepan over medium heat. Add flour and stir to form a paste; cook until fragrant about 1 to 2 minutes. Add both sugars and water; bring to a boil. Reduce the heat to low and simmer for 3 to 5 minutes. Remove from the heat.
Press one pastry into the bottom and up the sides of a 9-inch pie pan. Roll out remaining pastry so it will overhang the pie by about 1/2 inch. Cut pastry into eight 1-inch strips.
Place sliced apples into the bottom crust forming a slight mound. Lay four pastry strips vertically and evenly spaced over apples using longer strips in the center and shorter strips at the edges.
Make a lattice crust: Fold the first and third strips all the way back so theyre almost falling off the pie. Lay one of the unused strips perpendicularly over the second and fourth strips then unfold the first and third strips back into their original position.
Fold the second and fourth vertical strips back. Lay one of the three unused strips perpendicularly over top. Unfold the second and fourth strips back into their original position.
Repeat Steps 6 and 7 to weave in the last two strips of pastry. Fold and trim excess dough at the edges as necessary and pinch to secure.
Slowly and gently pour sugar-butter mixture over lattice crust making sure it seeps over sliced apples. Brush some onto lattice but make sure it doesnt run off the sides.
Bake in the preheated oven for 15 minutes. Reduce the temperature to 350 degrees F (175 degrees C) and continue baking until apples are soft 35 to 45 minutes.











Natalie T
",Desserts,"Total Fat: 19.0, Saturated Fat: 9.0, Total Carbohydrate: 52.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 2.0",https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg,8 small Granny Smith apples or as needed ½ cup unsalted butter 3 tablespoons all-purpose flour ½ cup white sugar ½ cup packed brown sugar ¼ cup water 1 (9 inch) double-crust pie pastry thawed,quantity: 0.5 unit: cup ingredient: butter quantity: 3.0 unit: tablespoons ingredient: flour quantity: 0.5 unit: cup ingredient: sugar quantity: 0.5 unit: cup ingredient: sugar quantity: 0.25 unit: cup ingredient: water quantity: 1.0 unit: piece ingredient: pastry,90
Sarahs Homemade Applesauce,4  apples - peeled cored and chopped ¾ cup water ¼ cup white sugar ½ teaspoon ground cinnamon,"Combine apples water sugar and cinnamon in a saucepan; cover and cook over medium heat until apples are soft about 15 to 20 minutes.
Allow apple mixture to cool then mash with a fork or potato masher until it is the consistency you like.











Photo by cookinmama.
cookin mama
",Side Dish,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 32.0, Dietary Fiber: 4.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg,4  apples - peeled cored and chopped ¾ cup water ¼ cup white sugar ½ teaspoon ground cinnamon,quantity: 0.75 unit: cup ingredient: water quantity: 0.25 unit: cup ingredient: sugar quantity: 0.5 unit: teaspoon ingredient: cinnamon,25
Apple Crisp,10 cups all-purpose apples peeled cored and sliced 1 cup white sugar 1 tablespoon all-purpose flour 1 teaspoon ground cinnamon ½ cup water 1 cup quick-cooking oats 1 cup all-purpose flour 1 cup packed brown sugar ¼ teaspoon baking powder ¼ teaspoon baking soda ½ cup butter melted,"Preheat the oven to 350 degrees F (175 degrees C).
Place sliced apples in a 9x13-inch baking dish. Mix white sugar 1 tablespoon flour and cinnamon together; sprinkle over apples. Pour water evenly over apples.
Combine oats 1 cup flour brown sugar baking powder and baking soda in a large bowl. Add melted butter and mix with a fork until crumbly; sprinkle evenly over apple mixture.
Bake in the preheated oven until top is golden brown and apples are bubbling around the edges about 45 minutes.











Dotdash Meredith Food Studios
",Desserts,"Total Fat: 8.0, Saturated Fat: 5.0, Total Carbohydrate: 61.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg,10 cups all-purpose apples peeled cored and sliced 1 cup white sugar 1 tablespoon all-purpose flour 1 teaspoon ground cinnamon ½ cup water 1 cup quick-cooking oats 1 cup all-purpose flour 1 cup packed brown sugar ¼ teaspoon baking powder ¼ teaspoon baking soda ½ cup butter melted,quantity: 1.0 unit: cup ingredient: sugar quantity: 1.0 unit: tablespoon ingredient: flour quantity: 1.0 unit: teaspoon ingredient: cinnamon quantity: 0.5 unit: cup ingredient: water quantity: 1.0 unit: cup ingredient: oats quantity: 1.0 unit: cup ingredient: flour quantity: 1.0 unit: cup ingredient: sugar quantity: 0.25 unit: teaspoon ingredient: baking quantity: 0.25 unit: teaspoon ingredient: baking quantity: 0.5 unit: cup ingredient: butter,75
Apple Pie Filling,18 cups thinly sliced apples 3 tablespoons lemon juice 10 cups water 4 ½ cups white sugar 1 cup cornstarch 2 teaspoons ground cinnamon 1 teaspoon salt ¼ teaspoon ground nutmeg,"Toss apples with lemon juice in a large bowl and set aside.
Pour water into a Dutch oven over medium heat. Combine sugar cornstarch cinnamon salt and nutmeg in a bowl; add to water stir well and bring to a boil. Boil for 2 minutes stirring constantly.
Add apples and return to a boil. Reduce heat cover and simmer until apples are tender 6 to 8 minutes. Cool for 30 minutes.
Ladle into 5 freezer containers leaving 1/2 inch of headspace. Cool at room temperature no longer than 1 1/2 hours.
Seal and freeze. Can be stored for up to 12 months.











Dotdash Meredith Food Studios
",Desserts,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 33.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg,18 cups thinly sliced apples 3 tablespoons lemon juice 10 cups water 4 ½ cups white sugar 1 cup cornstarch 2 teaspoons ground cinnamon 1 teaspoon salt ¼ teaspoon ground nutmeg,quantity: 3.0 unit: tablespoons ingredient: lemon juice quantity: 10.0 unit: cups ingredient: water quantity: 4.5 unit: cups ingredient: sugar quantity: 1.0 unit: cup ingredient: cornstarch quantity: 2.0 unit: teaspoons ingredient: cinnamon quantity: 1.0 unit: teaspoon ingredient: salt quantity: 0.25 unit: teaspoon ingredient: nutmeg,160
Easy Apple Crisp with Oat Topping,6  apples - peeled cored and sliced 2 tablespoons white sugar 1 ½ teaspoons ground cinnamon divided 1 cup brown sugar ¾ cup old-fashioned oats ¾ cup all-purpose flour ½ cup cold butter,"Preheat the oven to 350 degrees F (175 degrees C).
Toss apples with white sugar and 1/2 teaspoon cinnamon in a medium bowl to coat; pour into a 9-inch square baking dish.
Mix brown sugar oats flour and 1 teaspoon cinnamon in a separate bowl. Cut in cold butter with 2 knives or a pastry blender until the mixture resembles coarse crumbs; spread over apples and pat down gently until even.
Bake in the preheated oven until golden brown and sides are bubbling about 40 minutes.









",Desserts,"Total Fat: 25.0, Saturated Fat: 15.0, Total Carbohydrate: 99.0, Dietary Fiber: 8.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg,6  apples - peeled cored and sliced 2 tablespoons white sugar 1 ½ teaspoons ground cinnamon divided 1 cup brown sugar ¾ cup old-fashioned oats ¾ cup all-purpose flour ½ cup cold butter,quantity: 2.0 unit: tablespoons ingredient: sugar quantity: 1.5 unit: teaspoons ingredient: cinnamon quantity: 1.0 unit: cup ingredient: sugar quantity: 0.75 unit: cup ingredient: oats quantity: 0.75 unit: cup ingredient: flour quantity: 0.5 unit: cup ingredient: butter,60
Easy Apple Cider,1 (64 fluid ounce) bottle apple cider 3  cinnamon sticks 1 teaspoon whole allspice 1 teaspoon whole cloves ⅓ cup brown sugar,"Combine apple cider and cinnamon sticks in a slow cooker.
Place allspice and cloves onto the center of an 8-inch square piece of cheesecloth. Gather edges of the cheesecloth together and tie to secure; place in the slow cooker. Stir in brown sugar. Cook on High until it comes to a boil. Reduce heat to Low and keep warm.",Drinks Recipes,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 43.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg,1 (64 fluid ounce) bottle apple cider 3  cinnamon sticks 1 teaspoon whole allspice 1 teaspoon whole cloves ⅓ cup brown sugar,quantity: 3.0 unit: piece ingredient: cinnamon quantity: 1.0 unit: teaspoon ingredient: allspice quantity: 1.0 unit: teaspoon ingredient: cloves quantity: 0.33 unit: cup ingredient: sugar,70
Apple-Cranberry Crisp,2 pounds Granny Smith apples - peeled cored and thinly sliced ¾ cup cranberries ¼ cup white sugar 1 tablespoon ground cinnamon 1 teaspoon ground nutmeg,"Preheat the oven to 375 degrees F (190 degrees C.) Butter an 8-inch square baking dish.
Mix apples cranberries white sugar cinnamon and nutmeg in a large bowl. Place in an even layer in the prepared baking dish.
In the same bowl combine oats flour and brown sugar for topping. Add butter pieces and mix with a fork until crumbly. Stir in pecans. Sprinkle topping over apples in the baking dish.
Bake in the preheated oven until apples are tender and topping is golden brown 40 to 50 minutes.",Desserts,"Total Fat: 12.0, Saturated Fat: 4.0, Total Carbohydrate: 43.0, Dietary Fiber: 4.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg,2 pounds Granny Smith apples - peeled cored and thinly sliced ¾ cup cranberries ¼ cup white sugar 1 tablespoon ground cinnamon 1 teaspoon ground nutmeg,quantity: 0.75 unit: cup ingredient: cranberries quantity: 0.25 unit: cup ingredient: sugar quantity: 1.0 unit: tablespoon ingredient: cinnamon quantity: 1.0 unit: teaspoon ingredient: nutmeg,65
Old-Fashioned Apple Dumplings,1 recipe pastry for double-crust pie 6 large Granny Smith apples peeled and cored ½ cup butter ¾ cup brown sugar 1 teaspoon ground cinnamon ½ teaspoon ground nutmeg 3 cups water 2 cups white sugar 1 teaspoon vanilla extract,"Preheat the oven to 400 degrees F (200 degrees C). Butter a 9x13-inch pan.
Roll pastry into a 24x16-inch rectangle on a lightly floured surface. Cut into six 8-inch squares. Place an apple on each pastry square with the cored opening facing upward. Cut butter into 8 pieces; place 1 piece in the opening of each apple; reserve the remaining butter for sauce.
Divide brown sugar between apples poking some inside each cored opening and the rest around the base of each apple. Sprinkle cinnamon and nutmeg over apples.
Using slightly wet fingertips bring one corner of the pastry square up to the top of the apple then bring the opposite corner to the top and press together. Bring up the two remaining corners and seal. Slightly pinch the dough at the sides to completely seal in the apple. Repeat with the remaining apples and place in the prepared baking dish.
Combine water white sugar vanilla extract and reserved butter in a large saucepan. Place over medium heat and bring to a boil. Reduce the heat to low and simmer until sugar is dissolved about 5 minutes. Carefully pour the sauce over the dumplings.
Bake in the preheated oven for 50 to 60 minutes. Place each apple dumpling in a dessert bowl and spoon some of the sauce over the top.",Desserts,"Total Fat: 35.0, Saturated Fat: 15.0, Total Carbohydrate: 148.0, Dietary Fiber: 7.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg,1 recipe pastry for double-crust pie 6 large Granny Smith apples peeled and cored ½ cup butter ¾ cup brown sugar 1 teaspoon ground cinnamon ½ teaspoon ground nutmeg 3 cups water 2 cups white sugar 1 teaspoon vanilla extract,quantity: 6.0 unit: piece ingredient: apple quantity: 0.5 unit: cup ingredient: butter quantity: 0.75 unit: cup ingredient: sugar quantity: 1.0 unit: teaspoon ingredient: cinnamon quantity: 0.5 unit: teaspoon ingredient: nutmeg quantity: 3.0 unit: cups ingredient: water quantity: 2.0 unit: cups ingredient: sugar quantity: 1.0 unit: teaspoon ingredient: vanilla,90
Southern Fried Apples,½ cup butter ½ cup white sugar 2 tablespoons ground cinnamon 4  Granny Smith apples - peeled cored and sliced,"Melt butter in a large skillet over medium heat. Add sugar and cinnamon; stir until sugar dissolves.
Add apples and cook until softened 5 to 8 minutes.











Melissa Goff
",Side Dish,"Total Fat: 23.0, Saturated Fat: 15.0, Total Carbohydrate: 45.0, Dietary Fiber: 5.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg,½ cup butter ½ cup white sugar 2 tablespoons ground cinnamon 4  Granny Smith apples - peeled cored and sliced,quantity: 0.5 unit: cup ingredient: sugar quantity: 2.0 unit: tablespoons ingredient: cinnamon quantity: 4.0 unit: piece ingredient: apple,20
Apple Turnovers,2 tablespoons lemon juice 4 cups water 4  Granny Smith apples - peeled cored and sliced 2 tablespoons butter 1 cup brown sugar 1 teaspoon ground cinnamon 1 tablespoon cornstarch 1 tablespoon water 1 (17.25 ounce) package frozen puff pastry sheets thawed 1 cup confectioners sugar 1 tablespoon milk 1 teaspoon vanilla extract,"Combine the lemon and 4 cups water in a large bowl. Place the sliced apples in the water to keep them from browning.
Melt butter in a large skillet over medium heat. Drain water from apples and place them into the hot skillet. Cook and stir for about 2 minutes. Add brown sugar and cinnamon and cook stirring for 2 more minutes. Stir together cornstarch and 1 tablespoon water. Pour into the skillet and mix well. Cook for another minute or until sauce has thickened. Remove from heat to cool slightly.
Preheat the oven to 400 degrees F (200 degrees C).
Unfold puff pastry sheets and repair any cracks by pressing them back together. Trim each sheet into a square. Then cut each larger square into 4 smaller squares. Spoon apples onto the center of each squares. Fold over from corner to corner into a triangle shape and press edges together to seal. Place turnovers on a baking sheet leaving about 1 inch between them.
Bake for 25 minutes in the preheated oven until turnovers are puffed and lightly browned. Cool completely before glazing.
To make the glaze mix together the confectioners sugar milk and vanilla in a small bowl. Adjust the thickness by adding more sugar or milk if necessary. Drizzle glaze over the cooled turnovers.











Dotdash Meredith Food Studios
",Desserts,"Total Fat: 26.0, Saturated Fat: 8.0, Total Carbohydrate: 80.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/6EpK8eOrDHd4MMlY4u4aXTOPtHA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/59124-AppleTurnovers-mfs-2X3-1645-dea040eab9a84c7483c411988b92d134.jpg,"2 tablespoons lemon juice 4 cups water 4  Granny Smith apples - peeled cored and sliced 2 tablespoons butter 1 cup brown sugar 1 teaspoon ground cinnamon 1 tablespoon cornstarch 1 tablespoon water 1 (17.25 ounce) package frozen puff pastry sheets thawed ""1 cup confectioners sugar"" 1 tablespoon milk 1 teaspoon vanilla extract",quantity: 4.0 unit: cups ingredient: water quantity: 4.0 unit: piece ingredient: apple quantity: 2.0 unit: tablespoons ingredient: butter quantity: 1.0 unit: cup ingredient: sugar quantity: 1.0 unit: teaspoon ingredient: cinnamon quantity: 1.0 unit: tablespoon ingredient: cornstarch quantity: 1.0 unit: tablespoon ingredient: water quantity: 1.0 unit: package ingredient: pastry quantity: 1.0 unit: cup ingredient: sugar quantity: 1.0 unit: tablespoon ingredient: milk quantity: 1.0 unit: teaspoon ingredient: vanilla,55
